rno	date	time	uno	sno	hno	addTF	price	complete
145	2024-08-04	13:00	60	10	4	0	200000	1
146	2024-08-04	14:00	19	10	12	0	80000	1
147	2024-08-04	15:00	74	10	10,20	0,0	210000	1
148	2024-08-04	17:00	23	10	25	0	25000	1
149	2024-08-04	18:00	14	10	16	0	140000	1
150	2024-08-04	19:00	56	10	16	0	140000	1
151	2024-08-04	10:00	56	11	4	0	200000	1
152	2024-08-04	13:00	80	11	1,22	0,0	55000	1
153	2024-08-04	16:00	1	11	9,18	0,0	230000	1
154	2024-08-05	11:00	51	1	3,4	0,0	494000	1
155	2024-08-05	15:00	29	1	12,17	0,0	195000	1
156	2024-08-05	17:00	29	1	9	0	234000	1
157	2024-08-05	19:00	9	1	13	0	130000	1
158	2024-08-05	10:00	2	2	14,17	0,0	228000	1
159	2024-08-05	12:00	26	2	13,15	0,0	396000	1
160	2024-08-05	16:00	35	2	15	0	276000	1
161	2024-08-05	17:00	15	2	6	0	72000	1
162	2024-08-05	18:00	40	2	1,11	0,0	282000	1
163	2024-08-05	10:00	60	3	2	0	165000	1
164	2024-08-05	11:00	26	3	1	0	38500	1
165	2024-08-05	12:00	13	3	5,12	0,0	286000	1
166	2024-08-05	14:00	1	3	16	0	154000	1
167	2024-08-05	15:00	74	3	8,12	0,0	220000	1
168	2024-08-05	10:00	5	5	1	0	35000	1
169	2024-08-05	12:00	11	5	21	0	15000	1
170	2024-08-05	14:00	58	5	1,3	0,0	215000	1
171	2024-08-05	17:00	72	5	7,18	0,0	110000	1
172	2024-08-05	10:00	13	7	3	0	180000	1
173	2024-08-05	12:00	65	7	2,20	0,0	160000	1
174	2024-08-05	14:00	31	7	11	0	200000	1
175	2024-08-05	15:00	47	7	8	0	120000	1
176	2024-08-05	18:00	52	7	2	0	150000	1
177	2024-08-05	19:00	47	7	16	0	140000	1
178	2024-08-05	10:00	8	8	2,7	0,0	210000	1
179	2024-08-05	12:00	8	8	8	0	120000	1
180	2024-08-05	15:00	49	8	11	0	200000	1
181	2024-08-05	16:00	1	8	11,12	0,0	280000	1
182	2024-08-05	10:00	10	9	3,12	0,0	260000	1
183	2024-08-05	12:00	38	9	16,20	0,0	150000	1
184	2024-08-05	15:00	1	9	14,23	0,0	145000	1
185	2024-08-05	10:00	61	10	7,19	0,0	110000	1
186	2024-08-05	14:00	70	10	15,16	0,0	370000	1
187	2024-08-05	17:00	41	10	21	0	15000	1
188	2024-08-05	10:00	22	11	13,14	0,0	220000	1
189	2024-08-05	13:00	16	11	3,19	0,0	230000	1
190	2024-08-05	16:00	20	11	10	0	200000	1
191	2024-08-05	17:00	56	11	6	0	60000	1
192	2024-08-05	18:00	41	11	1	0	35000	1
193	2024-08-06	10:00	35	1	4,9	0,0	494000	1
194	2024-08-06	12:00	18	1	6,17	0,0	169000	1
195	2024-08-06	14:00	22	1	8,13	0,0	286000	1
196	2024-08-06	17:00	47	1	7	0	78000	1
197	2024-08-06	18:00	15	1	17	0	91000	1
198	2024-08-06	19:00	37	1	23	0	32500	1
199	2024-08-06	10:00	78	2	16,18	0,0	228000	1
200	2024-08-06	12:00	62	2	19	0	60000	1
201	2024-08-06	13:00	35	2	7	0	72000	1
202	2024-08-06	15:00	71	2	22	0	24000	1
203	2024-08-06	16:00	27	2	24	0	36000	1
204	2024-08-06	17:00	56	2	23	0	30000	1
205	2024-08-06	18:00	63	2	18	0	60000	1
206	2024-08-06	13:00	49	3	3,20	0,0	209000	1
207	2024-08-06	15:00	55	3	1,18	0,0	93500	1
208	2024-08-06	10:00	62	5	6,9	0,0	240000	1
209	2024-08-06	12:00	60	5	1,11	0,0	235000	1
210	2024-08-06	14:00	44	5	25	0	25000	1
211	2024-08-06	15:00	11	5	25	0	25000	1
212	2024-08-06	16:00	15	5	3,13	0,0	280000	1
213	2024-08-06	10:00	19	8	3,15	0,0	410000	1
214	2024-08-06	14:00	73	8	4,22	0,0	220000	1
215	2024-08-06	16:00	78	8	20	0	10000	1
216	2024-08-06	18:00	49	8	2,3	0,0	330000	1
217	2024-08-06	10:00	64	9	20,23	0,0	35000	1
218	2024-08-06	13:00	41	9	8	0	120000	1
219	2024-08-06	14:00	40	9	6,13	0,0	160000	1
220	2024-08-06	17:00	54	9	17	0	70000	1
221	2024-08-06	18:00	20	9	10	0	200000	1
222	2024-08-06	10:00	31	10	7,11	0,0	260000	1
223	2024-08-06	13:00	23	10	4,19	0,0	250000	1
224	2024-08-07	10:00	2	1	17	0	91000	1
225	2024-08-07	11:00	45	1	8,20	0,0	169000	1
226	2024-08-07	15:00	63	1	25	0	32500	1
227	2024-08-07	16:00	75	1	7	0	78000	1
228	2024-08-07	18:00	77	1	1,6	0,0	123500	1
229	2024-08-07	10:00	44	2	8,17	0,0	228000	1
230	2024-08-07	14:00	57	2	2	0	180000	1
231	2024-08-07	15:00	13	2	18	0	60000	1
232	2024-08-07	16:00	20	2	9,11	0,0	456000	1
233	2024-08-07	18:00	55	2	18	0	60000	1
234	2024-08-07	10:00	51	4	11	0	200000	1
235	2024-08-07	11:00	23	4	13,17	0,0	170000	1
236	2024-08-07	13:00	67	4	17	0	70000	1
237	2024-08-07	14:00	80	4	3,21	0,0	195000	1
238	2024-08-07	16:00	73	4	4	0	200000	1
239	2024-08-07	18:00	35	4	20,21	0,0	25000	1
240	2024-08-07	11:00	75	5	7,16	0,0	200000	1
241	2024-08-07	13:00	62	5	2,19	0,0	200000	1
242	2024-08-07	16:00	34	5	3,8	0,0	300000	1
243	2024-08-07	10:00	14	6	14,25	0,0	145000	1
244	2024-08-07	14:00	78	6	4,6	0,0	260000	1
245	2024-08-07	16:00	80	6	9,17	0,0	250000	1
246	2024-08-07	11:00	58	10	4,15	0,0	430000	1
247	2024-08-07	14:00	50	10	18	0	50000	1
248	2024-08-07	15:00	5	10	9	0	180000	1
249	2024-08-07	16:00	8	10	19	0	50000	1
250	2024-08-07	17:00	72	10	19,21	0,0	65000	1
251	2024-08-07	11:00	79	11	22	0	20000	1
252	2024-08-07	12:00	76	11	13,24	0,0	130000	1
253	2024-08-07	14:00	70	11	20	0	10000	1
254	2024-08-07	16:00	50	11	9	0	180000	1
255	2024-08-07	17:00	14	11	10,12	0,0	280000	1
256	2024-08-08	10:00	10	1	20	0	13000	1
257	2024-08-08	12:00	16	1	10,18	0,0	325000	1
258	2024-08-08	15:00	35	1	4,11	0,0	520000	1
259	2024-08-08	18:00	9	1	1,2	0,0	240500	1
260	2024-08-08	10:00	62	2	23	0	30000	1
261	2024-08-08	15:00	72	2	9	0	216000	1
262	2024-08-08	17:00	62	2	16	0	168000	1
263	2024-08-08	18:00	6	2	17,19	0,0	144000	1
264	2024-08-08	10:00	12	4	4,14	0,0	320000	1
265	2024-08-08	13:00	52	4	23	0	25000	1
266	2024-08-08	15:00	18	4	4,8	0,0	320000	1
267	2024-08-08	17:00	12	4	17	0	70000	1
268	2024-08-08	18:00	71	4	3,16	0,0	320000	1
269	2024-08-08	10:00	65	6	3	0	180000	1
270	2024-08-08	11:00	10	6	9	0	180000	1
271	2024-08-08	12:00	77	6	14,15	0,0	350000	1
272	2024-08-08	17:00	44	6	9,11	0,0	380000	1
273	2024-08-08	11:00	16	7	7,9	0,0	240000	1
274	2024-08-08	13:00	5	7	13,15	0,0	330000	1
275	2024-08-08	17:00	30	7	6,20	0,0	70000	1
276	2024-08-08	10:00	56	9	10,16	0,0	340000	1
277	2024-08-08	12:00	29	9	6,11	0,0	260000	1
278	2024-08-08	14:00	58	9	12	0	80000	1
279	2024-08-08	17:00	38	9	4,15	0,0	430000	1
280	2024-08-09	10:00	46	1	1	0	45500	1
281	2024-08-09	12:00	54	1	19	0	65000	1
282	2024-08-09	13:00	51	1	10,13	0,0	390000	1
283	2024-08-09	15:00	16	1	2,6	0,0	273000	1
284	2024-08-09	18:00	76	1	7,12	0,0	182000	1
285	2024-08-09	10:00	20	2	5	0	216000	1
286	2024-08-09	12:00	20	2	13,25	0,0	150000	1
287	2024-08-09	15:00	3	2	7	0	72000	1
288	2024-08-09	16:00	27	2	16	0	168000	1
289	2024-08-09	17:00	16	2	10,11	0,0	480000	1
290	2024-08-09	19:00	44	2	18	0	60000	1
291	2024-08-09	10:00	13	3	19	0	55000	1
292	2024-08-09	11:00	74	3	13,19	0,0	165000	1
293	2024-08-09	13:00	18	3	5,21	0,0	214500	1
294	2024-08-09	17:00	2	3	2,20	0,0	176000	1
295	2024-08-09	10:00	73	4	15	0	230000	1
296	2024-08-09	11:00	3	4	2	0	150000	1
297	2024-08-09	12:00	52	4	1,19	0,0	85000	1
298	2024-08-09	15:00	36	4	8,9	0,0	300000	1
299	2024-08-09	17:00	13	4	4	0	200000	1
300	2024-08-09	18:00	15	4	24	0	30000	1
301	2024-08-09	10:00	16	6	10,20	0,0	210000	1
302	2024-08-09	12:00	65	6	7	0	60000	1
303	2024-08-09	13:00	24	6	17,23	0,0	95000	1
304	2024-08-09	16:00	31	6	13,19	0,0	150000	1
305	2024-08-09	11:00	40	7	1,12	0,0	115000	1
306	2024-08-09	13:00	22	7	14,17	0,0	190000	1
307	2024-08-09	15:00	59	7	1,10	0,0	235000	1
308	2024-08-09	17:00	65	7	20	0	10000	1
309	2024-08-09	11:00	79	8	10	0	200000	1
310	2024-08-09	12:00	38	8	3,8	0,0	300000	1
311	2024-08-09	15:00	10	8	8	0	120000	1
312	2024-08-09	17:00	78	8	15	0	230000	1
313	2024-08-09	19:00	17	8	1	0	35000	1
314	2024-08-09	11:00	21	11	2,11	0,0	350000	1
315	2024-08-09	13:00	55	11	13,24	0,0	130000	1
316	2024-08-09	15:00	20	11	16,24	0,0	170000	1
317	2024-08-10	10:00	28	1	14,17	0,0	247000	1
318	2024-08-10	12:00	34	1	12	0	104000	1
319	2024-08-10	13:00	18	1	23	0	32500	1
320	2024-08-10	14:00	9	1	3,10	0,0	494000	1
321	2024-08-10	16:00	62	1	23	0	32500	1
322	2024-08-10	17:00	54	1	23	0	32500	1
323	2024-08-10	18:00	75	1	5,8	0,0	390000	1
324	2024-08-10	11:00	39	3	2,4	0,0	385000	1
325	2024-08-10	13:00	21	3	10,15	0,0	473000	1
326	2024-08-10	15:00	60	3	1,4	0,0	258500	1
327	2024-08-10	18:00	26	3	25	0	27500	1
328	2024-08-10	10:00	3	4	2,14	0,0	270000	1
329	2024-08-10	12:00	75	4	6,14	0,0	180000	1
330	2024-08-10	15:00	61	4	5,25	0,0	205000	1
331	2024-08-10	17:00	26	4	1	0	35000	1
332	2024-08-10	18:00	44	4	2,5	0,0	330000	1
333	2024-08-10	10:00	61	5	3,5	0,0	360000	1
334	2024-08-10	15:00	11	5	4,22	0,0	220000	1
335	2024-08-10	17:00	41	5	22	0	20000	1
336	2024-08-10	18:00	8	5	18	0	50000	1
337	2024-08-10	19:00	40	5	2	0	150000	1
338	2024-08-10	10:00	71	6	7	0	60000	1
339	2024-08-10	11:00	27	6	21	0	15000	1
340	2024-08-10	12:00	51	6	25	0	25000	1
341	2024-08-10	13:00	79	6	2,3	0,0	330000	1
342	2024-08-10	17:00	66	6	19	0	50000	1
343	2024-08-10	18:00	9	6	1,16	0,0	175000	1
344	2024-08-10	10:00	48	7	3,17	0,0	250000	1
345	2024-08-10	12:00	9	7	19	0	50000	1
346	2024-08-10	14:00	72	7	13	0	100000	1
347	2024-08-10	16:00	65	7	12	0	80000	1
348	2024-08-10	11:00	11	8	15	0	230000	1
349	2024-08-10	13:00	8	8	11,20	0,0	210000	1
350	2024-08-10	17:00	37	8	16	0	140000	1
351	2024-08-10	18:00	32	8	3,16	0,0	320000	1
352	2024-08-10	10:00	2	9	16,21	0,0	155000	1
353	2024-08-10	12:00	72	9	1,19	0,0	85000	1
354	2024-08-10	15:00	76	9	2	0	150000	1
355	2024-08-10	16:00	40	9	23	0	25000	1
356	2024-08-10	18:00	23	9	6	0	60000	1
357	2024-08-10	10:00	42	10	8	0	120000	1
358	2024-08-10	11:00	74	10	1,16	0,0	175000	1
359	2024-08-10	13:00	13	10	1	0	35000	1
360	2024-08-10	15:00	6	10	16	0	140000	1
361	2024-08-10	16:00	6	10	7,13	0,0	160000	1
362	2024-08-10	18:00	67	10	23	0	25000	1
363	2024-08-10	10:00	6	11	7,22	0,0	80000	1
364	2024-08-10	12:00	22	11	3,22	0,0	200000	1
365	2024-08-10	14:00	45	11	17	0	70000	1
366	2024-08-10	17:00	62	11	18,21	0,0	65000	1
367	2024-08-11	11:00	42	2	5,9	0,0	432000	1
368	2024-08-11	14:00	29	2	7	0	72000	1
369	2024-08-11	15:00	56	2	11	0	240000	1
370	2024-08-11	16:00	25	2	2,20	0,0	192000	1
371	2024-08-11	18:00	52	2	8,23	0,0	174000	1
372	2024-08-11	10:00	37	3	9,17	0,0	275000	1
373	2024-08-11	13:00	77	3	17	0	77000	1
374	2024-08-11	14:00	21	3	19	0	55000	1
375	2024-08-11	17:00	79	3	11	0	220000	1
376	2024-08-11	18:00	72	3	9,16	0,0	352000	1
377	2024-08-11	10:00	14	4	13,21	0,0	115000	1
378	2024-08-11	12:00	27	4	6	0	60000	1
379	2024-08-11	13:00	79	4	9	0	180000	1
380	2024-08-11	15:00	52	4	16	0	140000	1
381	2024-08-11	16:00	48	4	1,17	0,0	105000	1
382	2024-08-11	10:00	35	5	10	0	200000	1
383	2024-08-11	12:00	56	5	10,14	0,0	320000	1
384	2024-08-11	15:00	46	5	5,20	0,0	190000	1
385	2024-08-11	17:00	78	5	4,24	0,0	230000	1
386	2024-08-11	19:00	64	5	14	0	120000	1
387	2024-08-11	11:00	58	6	11,20	0,0	210000	1
388	2024-08-11	16:00	45	6	12,17	0,0	150000	1
389	2024-08-11	10:00	6	7	7	0	60000	1
390	2024-08-11	15:00	65	7	1,7	0,0	95000	1
391	2024-08-11	18:00	15	7	24	0	30000	1
392	2024-08-11	10:00	67	8	9	0	180000	1
393	2024-08-11	11:00	5	8	1,9	0,0	215000	1
394	2024-08-11	13:00	2	8	8,13	0,0	220000	1
395	2024-08-11	15:00	19	8	4,16	0,0	340000	1
396	2024-08-11	18:00	46	8	16,18	0,0	190000	1
397	2024-08-11	10:00	78	9	2,4	0,0	350000	1
398	2024-08-11	14:00	57	9	1,7	0,0	95000	1
399	2024-08-11	17:00	1	9	5,17	0,0	250000	1
400	2024-08-11	10:00	64	10	22,25	0,0	45000	1
401	2024-08-11	13:00	25	10	1	0	35000	1
402	2024-08-11	14:00	53	10	1	0	35000	1
403	2024-08-11	15:00	39	10	6,11	0,0	260000	1
404	2024-08-11	17:00	35	10	21	0	15000	1
405	2024-08-11	18:00	20	10	24	0	30000	1
406	2024-08-11	11:00	7	11	1,2	0,0	185000	1
407	2024-08-11	13:00	40	11	22,23	0,0	45000	1
408	2024-08-11	15:00	16	11	9,24	0,0	210000	1
409	2024-08-11	17:00	11	11	15	0	230000	1
410	2024-08-11	18:00	39	11	10	0	200000	1
411	2024-08-12	10:00	35	1	3,5	0,0	468000	1
412	2024-08-12	12:00	80	1	11,15	0,0	559000	1
413	2024-08-12	14:00	77	1	3,16	0,0	416000	1
414	2024-08-12	16:00	43	1	1,15	0,0	344500	1
415	2024-08-12	18:00	7	1	17	0	91000	1
416	2024-08-12	11:00	66	2	25	0	30000	1
417	2024-08-12	12:00	27	2	11,17	0,0	324000	1
418	2024-08-12	15:00	78	2	11	0	240000	1
419	2024-08-12	16:00	72	2	4,12	0,0	336000	1
420	2024-08-12	18:00	51	2	4,13	0,0	360000	1
421	2024-08-12	10:00	75	3	7,14	0,0	198000	1
422	2024-08-12	15:00	9	3	11	0	220000	1
423	2024-08-12	16:00	4	3	24,25	0,0	60500	1
424	2024-08-12	10:00	27	5	1,7	0,0	95000	1
425	2024-08-12	13:00	19	5	5,13	0,0	280000	1
426	2024-08-12	15:00	40	5	4,11	0,0	400000	1
427	2024-08-12	18:00	14	5	14	0	120000	1
428	2024-08-12	11:00	42	7	1,4	0,0	235000	1
429	2024-08-12	13:00	11	7	5,14	0,0	300000	1
430	2024-08-12	18:00	45	7	19	0	50000	1
431	2024-08-12	19:00	37	7	14	0	120000	1
432	2024-08-12	12:00	12	8	2,20	0,0	160000	1
433	2024-08-12	14:00	44	8	12,21	0,0	95000	1
434	2024-08-12	16:00	78	8	17,18	0,0	120000	1
435	2024-08-12	10:00	16	9	17,20	0,0	80000	1
436	2024-08-12	13:00	64	9	16,23	0,0	165000	1
437	2024-08-12	15:00	38	9	3,23	0,0	205000	1
438	2024-08-12	17:00	74	9	6,20	0,0	70000	1
439	2024-08-12	10:00	17	10	4	0	200000	1
440	2024-08-12	12:00	78	10	20	0	10000	1
441	2024-08-12	14:00	50	10	19	0	50000	1
442	2024-08-12	15:00	28	10	17	0	70000	1
443	2024-08-12	16:00	21	10	15	0	230000	1
444	2024-08-12	10:00	6	11	4,5	0,0	380000	1
445	2024-08-12	13:00	5	11	14	0	120000	1
446	2024-08-12	14:00	23	11	19	0	50000	1
447	2024-08-12	15:00	59	11	7,19	0,0	110000	1
448	2024-08-12	17:00	63	11	4	0	200000	1
449	2024-08-12	18:00	5	11	5	0	180000	1
450	2024-08-13	10:00	22	1	12,14	0,0	260000	1
451	2024-08-13	12:00	31	1	4,8	0,0	416000	1
452	2024-08-13	14:00	59	1	15,16	0,0	481000	1
453	2024-08-13	17:00	72	1	8,20	0,0	169000	1
454	2024-08-13	10:00	20	2	8	0	144000	1
455	2024-08-13	11:00	16	2	11,17	0,0	324000	1
456	2024-08-13	13:00	3	2	9	0	216000	1
457	2024-08-13	14:00	77	2	3	0	216000	1
458	2024-08-13	15:00	47	2	5,14	0,0	360000	1
459	2024-08-13	18:00	16	2	3,17	0,0	300000	1
460	2024-08-13	11:00	38	3	3,8	0,0	330000	1
461	2024-08-13	13:00	11	3	14	0	132000	1
462	2024-08-13	16:00	11	3	10,17	0,0	297000	1
463	2024-08-13	10:00	16	5	2,5	0,0	330000	1
464	2024-08-13	14:00	51	5	15	0	230000	1
465	2024-08-13	16:00	68	5	18,24	0,0	80000	1
466	2024-08-13	18:00	32	5	4,10	0,0	400000	1
467	2024-08-13	10:00	53	8	24	0	30000	1
468	2024-08-13	11:00	23	8	5,20	0,0	190000	1
469	2024-08-13	14:00	14	8	6	0	60000	1
470	2024-08-13	16:00	63	8	14,20	0,0	130000	1
471	2024-08-13	18:00	1	8	20,21	0,0	25000	1
472	2024-08-13	11:00	48	9	10	0	200000	1
473	2024-08-13	12:00	44	9	15	0	230000	1
474	2024-08-13	14:00	53	9	4,10	0,0	400000	1
475	2024-08-13	16:00	59	9	6,18	0,0	110000	1
476	2024-08-13	18:00	44	9	9,19	0,0	230000	1
477	2024-08-13	10:00	9	10	13,15	0,0	330000	1
478	2024-08-13	12:00	4	10	11,17	0,0	270000	1
479	2024-08-13	15:00	68	10	10	0	200000	1
480	2024-08-13	16:00	54	10	11	0	200000	1
481	2024-08-13	17:00	34	10	25	0	25000	1
482	2024-08-13	18:00	24	10	15	0	230000	1
483	2024-08-14	11:00	72	1	10,18	0,0	325000	1
484	2024-08-14	13:00	34	1	14,17	0,0	247000	1
485	2024-08-14	15:00	38	1	11,17	0,0	351000	1
486	2024-08-14	17:00	39	1	6,24	0,0	117000	1
487	2024-08-14	19:00	16	1	20	0	13000	1
488	2024-08-14	10:00	15	2	15,16	0,0	444000	1
489	2024-08-14	16:00	80	2	6,11	0,0	312000	1
490	2024-08-14	18:00	29	2	21,23	0,0	48000	1
491	2024-08-14	11:00	5	4	18	0	50000	1
492	2024-08-14	13:00	9	4	1,8	0,0	155000	1
493	2024-08-14	15:00	74	4	21	0	15000	1
